"filename", "language", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "JavaScript", "CSS", "Solidity", "MS SQL", "comment", "blank", "total"
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\package.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\prisma\migrations\20250312164241_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 50, 9, 13, 72
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\config\database.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\config\index.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 46
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\config\prisma.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\auth.controller.ts", "TypeScript", 255, 0, 0, 0, 0, 0, 0, 0, 0, 22, 47, 324
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\dashboard.controller.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 132
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\iot.controller.ts", "TypeScript", 306, 0, 0, 0, 0, 0, 0, 0, 0, 15, 40, 361
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\panel.controller.ts", "TypeScript", 557, 0, 0, 0, 0, 0, 0, 0, 0, 37, 95, 689
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\controllers\token.controller.ts", "TypeScript", 235, 0, 0, 0, 0, 0, 0, 0, 0, 14, 44, 293
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\entities\IoTData.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\entities\ShareToken.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\entities\SolarPanel.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 43
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\entities\User.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\index.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 66
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\middleware\auth.middleware.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 89
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\middleware\validate-request.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\auth.routes.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 93
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\dashboard.routes.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 26
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 22
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\iot.routes.ts", "TypeScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 181
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\panel.routes.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 91
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\routes\token.routes.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 106
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\scripts\generate-types.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 77
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\services\blockchain.service.ts", "TypeScript", 390, 0, 0, 0, 0, 0, 0, 0, 0, 19, 43, 452
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\controllers\auth.controller.test.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 156
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\controllers\iot.controller.test.ts", "TypeScript", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 214
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\controllers\panel.controller.test.ts", "TypeScript", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 180
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\controllers\token.controller.test.ts", "TypeScript", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 254
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\jest.config.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\tests\setup.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 69
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\types\auth.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\src\utils\logger.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\User\Documents\dev\solar_energy_iofy\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 28
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\README.md", "Markdown", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 29, 113
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\DividendDistributor.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 105, 0, 12, 28, 145
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\MockERC20.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 14, 0, 5, 3, 22
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\ShareToken.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 89, 0, 10, 21, 120
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\SolarPanelFactory.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 73, 0, 32, 15, 120
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\contracts\SolarPanelRegistry.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 134, 0, 41, 23, 198
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\coverage.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\hardhat.config.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\package.json", "JSON", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\scripts\deploy.js", "JavaScript", 0, 0, 0, 0, 0, 149, 0, 0, 0, 23, 27, 199
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\scripts\update-addresses.js", "JavaScript", 0, 0, 0, 0, 0, 87, 0, 0, 0, 19, 18, 124
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\scripts\verify-contract.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 15, 10, 79
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\DividendDistributor.test.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 33, 50, 252
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\Integration.test.js", "JavaScript", 0, 0, 0, 0, 0, 211, 0, 0, 0, 47, 53, 311
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\MockERC20.test.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 113
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\README.md", "Markdown", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 21, 71
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\ShareToken.test.ts", "TypeScript", 157, 0, 0, 0, 0, 0, 0, 0, 0, 17, 44, 218
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\SolarPanelFactory.test.js", "JavaScript", 0, 0, 0, 0, 0, 199, 0, 0, 0, 14, 30, 243
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\test\SolarPanelRegistry.test.ts", "TypeScript", 321, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41, 366
"c:\Users\User\Documents\dev\solar_energy_iofy\contracts\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\package.json", "JSON", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\api\v1\auth\login\route.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\api\v1\auth\me\route.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\api\v1\auth\register\route.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 4, 56
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\auth\register\page.tsx", "TypeScript JSX", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 7, 166
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\auth\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 2, 5, 89
