Date : 2025-03-15 17:07:45
Directory : c:\Users\User\Documents\dev\solar_energy_iofy
Total : 99 files,  9881 codes, 568 comments, 1355 blanks, all 11804 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         43 |      4,668 |        279 |        762 |      5,709 |
| TypeScript JSX     |         33 |      3,634 |         61 |        292 |      3,987 |
| JavaScript         |          7 |        733 |        119 |        138 |        990 |
| Solidity           |          5 |        415 |        100 |         90 |        605 |
| JSON               |          4 |        151 |          0 |          3 |        154 |
| Markdown           |          2 |        134 |          0 |         50 |        184 |
| JSON with Comments |          3 |         67 |          0 |          0 |         67 |
| MS SQL             |          1 |         50 |          9 |         13 |         72 |
| CSS                |          1 |         29 |          0 |          7 |         36 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         99 |      9,881 |        568 |      1,355 |     11,804 |
| backend                                                                                                   |         34 |      3,614 |        184 |        540 |      4,338 |
| backend (Files)                                                                                           |          2 |         88 |          0 |          1 |         89 |
| backend\prisma                                                                                            |          1 |         50 |          9 |         13 |         72 |
| backend\prisma\migrations                                                                                 |          1 |         50 |          9 |         13 |         72 |
| backend\prisma\migrations\20250312164241_init                                                             |          1 |         50 |          9 |         13 |         72 |
| backend\src                                                                                               |         31 |      3,476 |        175 |        526 |      4,177 |
| backend\src (Files)                                                                                       |          1 |         49 |          6 |         11 |         66 |
| backend\src\config                                                                                        |          3 |         59 |          3 |          7 |         69 |
| backend\src\controllers                                                                                   |          5 |      1,464 |         96 |        239 |      1,799 |
| backend\src\entities                                                                                      |          4 |        118 |          0 |         40 |        158 |
| backend\src\middleware                                                                                    |          2 |         89 |          0 |         17 |        106 |
| backend\src\routes                                                                                        |          6 |        437 |         35 |         47 |        519 |
| backend\src\scripts                                                                                       |          1 |         54 |         12 |         11 |         77 |
| backend\src\services                                                                                      |          1 |        390 |         19 |         43 |        452 |
